TRACT,LON,LAT,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,CATEGORIAS,MEDV
2011,-70.955,42.255,0.00632,18.0,2.31,0,0.538,6,65.2,4.09,1,296,15.3,Medio,24.0
2021,-70.95,42.2875,0.02731,0.0,7.07,0,0.469,6,78.9,4.9671,2,242,17.8,Medio,21.6
2022,-70.936,42.283,0.02729,0.0,7.07,0,0.469,7,61.1,4.9671,2,242,17.8,Grande,34.7
2031,-70.928,42.293,0.03237,0.0,2.18,0,0.458,6,45.8,6.0622,3,222,18.7,Medio,33.4
2032,-70.922,42.298,0.06905,0.0,2.18,0,0.458,7,54.2,6.0622,3,222,18.7,Grande,36.2
2033,-70.9165,42.304,0.02985,0.0,2.18,0,0.458,6,58.7,6.0622,3,222,18.7,Medio,28.7
2041,-70.936,42.297,0.08829,12.5,7.87,0,0.524,6,66.6,5.5605,5,311,15.2,Medio,22.9
2042,-70.9375,42.31,0.14455,12.5,7.87,0,0.524,6,96.1,5.9505,5,311,15.2,Medio,22.1
2043,-70.933,42.312,0.21124,12.5,7.87,0,0.524,5,100.0,6.0821,5,311,15.2,Medio,16.5
2044,-70.929,42.316,0.17004,12.5,7.87,0,0.524,6,85.9,6.5921,5,311,15.2,Medio,18.9
2045,-70.935,42.316,0.22489,12.5,7.87,0,0.524,6,94.3,6.3467,5,311,15.2,Medio,15.0
2046,-70.944,42.317,0.11747,12.5,7.87,0,0.524,6,82.9,6.2267,5,311,15.2,Medio,18.9
2047,-70.951,42.306,0.09378,12.5,7.87,0,0.524,5,39.0,5.4509,5,311,15.2,Medio,21.7
2051,-70.9645,42.292,0.62976,0.0,8.14,0,0.538,5,61.8,4.7075,4,307,21.0,Medio,20.4
2052,-70.972,42.287,0.63796,0.0,8.14,0,0.538,6,84.5,4.4619,4,307,21.0,Medio,18.2
2053,-70.9765,42.294,0.62739,0.0,8.14,0,0.538,5,56.5,4.4986,4,307,21.0,Medio,19.9
2054,-70.987,42.2985,1.05393,0.0,8.14,0,0.538,5,29.3,4.4986,4,307,21.0,Medio,23.1
2055,-70.978,42.285,0.7842,0.0,8.14,0,0.538,5,81.7,4.2579,4,307,21.0,Medio,17.5
2056,-70.9925,42.2825,0.80271,0.0,8.14,0,0.538,5,36.6,3.7965,4,307,21.0,Medio,20.2
2057,-70.988,42.2776,0.7258,0.0,8.14,0,0.538,5,69.5,3.7965,4,307,21.0,Medio,18.2
2058,-70.9835,42.277,1.25179,0.0,8.14,0,0.538,5,98.1,3.7979,4,307,21.0,Medio,13.6
2059,-70.982,42.281,0.85204,0.0,8.14,0,0.538,5,89.2,4.0123,4,307,21.0,Medio,19.6
2060,-70.9775,42.279,1.23247,0.0,8.14,0,0.538,6,91.7,3.9769,4,307,21.0,Medio,15.2
2061,-70.973,42.279,0.98843,0.0,8.14,0,0.538,5,100.0,4.0952,4,307,21.0,Medio,14.5
2062,-70.9693,42.2816,0.75026,0.0,8.14,0,0.538,5,94.1,4.3996,4,307,21.0,Medio,15.6
2063,-70.964,42.284,0.84054,0.0,8.14,0,0.538,5,85.7,4.4546,4,307,21.0,Medio,13.9
2064,-70.9597,42.287,0.67191,0.0,8.14,0,0.538,5,90.3,4.682,4,307,21.0,Medio,16.6
2065,-70.9597,42.2825,0.95577,0.0,8.14,0,0.538,6,88.8,4.4534,4,307,21.0,Medio,14.8
2066,-70.957,42.28,0.77299,0.0,8.14,0,0.538,6,94.4,4.4547,4,307,21.0,Medio,18.4
2067,-70.951,42.278,1.00245,0.0,8.14,0,0.538,6,87.3,4.239,4,307,21.0,Medio,21.0
2068,-70.967,42.279,1.13081,0.0,8.14,0,0.538,5,94.1,4.233,4,307,21.0,Medio,12.7
2069,-70.964,42.2765,1.35472,0.0,8.14,0,0.538,6,100.0,4.175,4,307,21.0,Medio,14.5
2070,-70.972,42.2765,1.38799,0.0,8.14,0,0.538,5,82.0,3.99,4,307,21.0,Medio,13.2
2071,-70.9795,42.276,1.15172,0.0,8.14,0,0.538,5,95.0,3.7872,4,307,21.0,Medio,13.1
2072,-70.9775,42.272,1.61282,0.0,8.14,0,0.538,6,96.9,3.7598,4,307,21.0,Medio,13.5
2081,-71.0,42.27,0.06417,0.0,5.96,0,0.499,5,68.2,3.3603,5,279,19.2,Medio,18.9
2082,-71.008,42.2745,0.09744,0.0,5.96,0,0.499,5,61.4,3.3779,5,279,19.2,Medio,20.0
2083,-71.004,42.2865,0.08014,0.0,5.96,0,0.499,5,41.5,3.9342,5,279,19.2,Medio,21.0
2084,-71.02,42.2875,0.17505,0.0,5.96,0,0.499,5,30.2,3.8473,5,279,19.2,Medio,24.2
2091,-71.013,42.313,0.02763,75.0,2.95,0,0.428,6,21.8,5.4011,3,252,18.3,Medio,30.8
2092,-71.03,42.324,0.03359,75.0,2.95,0,0.428,7,15.8,5.4011,3,252,18.3,Grande,34.9
2101,-71.004,42.335,0.12744,0.0,6.91,0,0.448,6,2.9,5.7209,3,233,17.9,Medio,26.6
2102,-71.003,42.3235,0.1415,0.0,6.91,0,0.448,6,6.6,5.7209,3,233,17.9,Medio,25.3
2103,-70.9775,42.3237,0.15936,0.0,6.91,0,0.448,6,6.5,5.7209,3,233,17.9,Medio,24.7
2104,-70.9675,42.317,0.12269,0.0,6.91,0,0.448,6,40.0,5.7209,3,233,17.9,Medio,21.2
2105,-70.9725,42.3075,0.17142,0.0,6.91,0,0.448,5,33.8,5.1004,3,233,17.9,Medio,19.3
2106,-70.965,42.3075,0.18836,0.0,6.91,0,0.448,5,33.3,5.1004,3,233,17.9,Medio,20.0
2107,-70.956,42.3125,0.22927,0.0,6.91,0,0.448,6,85.5,5.6894,3,233,17.9,Medio,16.6
2108,-70.955,42.3165,0.25387,0.0,6.91,0,0.448,5,95.3,5.87,3,233,17.9,Medio,14.4
2109,-70.9525,42.3208,0.21977,0.0,6.91,0,0.448,5,62.0,6.0877,3,233,17.9,Medio,19.4
2111,-70.951,42.334,0.08873,21.0,5.64,0,0.439,5,45.7,6.8147,4,243,16.8,Medio,19.7
2112,-70.963,42.3382,0.04337,21.0,5.64,0,0.439,6,63.0,6.8147,4,243,16.8,Medio,20.5
2113,-70.958,42.346,0.0536,21.0,5.64,0,0.439,6,21.1,6.8147,4,243,16.8,Medio,25.0
2114,-70.978,42.3425,0.04981,21.0,5.64,0,0.439,5,21.4,6.8147,4,243,16.8,Medio,23.4
2121,-71.0175,42.3715,0.0136,75.0,4.0,0,0.41,5,47.6,7.3197,3,469,21.1,Medio,18.9
2141,-70.9625,42.381,0.01311,90.0,1.22,0,0.403,7,21.9,8.6966,5,226,17.9,Grande,35.4
2151,-70.93,42.374,0.02055,85.0,0.74,0,0.41,6,35.7,9.1876,2,313,17.3,Medio,24.7
2161,-70.9295,42.3715,0.01432,100.0,1.32,0,0.411,6,40.5,8.3248,5,256,15.1,Medio,31.6
2171,-70.9385,42.346,0.15445,25.0,5.13,0,0.453,6,29.2,7.8148,8,284,19.7,Medio,23.3
2172,-70.94,42.332,0.10328,25.0,5.13,0,0.453,5,47.2,6.932,8,284,19.7,Medio,19.6
2173,-70.93,42.337,0.14932,25.0,5.13,0,0.453,5,66.2,7.2254,8,284,19.7,Medio,18.7
2174,-70.93,42.3275,0.17171,25.0,5.13,0,0.453,5,93.4,6.8185,8,284,19.7,Medio,16.0
2175,-70.9215,42.332,0.11027,25.0,5.13,0,0.453,6,67.8,7.2255,8,284,19.7,Medio,22.2
2176,-70.9075,42.339,0.1265,25.0,5.13,0,0.453,6,43.4,7.9809,8,284,19.7,Medio,25.0
2181,-70.86,42.345,0.01951,17.5,1.38,0,0.4161,7,59.5,9.2229,3,216,18.6,Grande,33.0
3301,-71.045,42.345,0.03584,80.0,3.37,0,0.398,6,17.8,6.6115,4,337,16.1,Medio,23.5
3302,-71.069,42.3525,0.04379,80.0,3.37,0,0.398,5,31.1,6.6115,4,337,16.1,Medio,19.4
3311,-71.09,42.3362,0.05789,12.5,6.07,0,0.409,5,21.4,6.498,4,345,18.9,Medio,22.0
3312,-71.108,42.34,0.13554,12.5,6.07,0,0.409,5,36.8,6.498,4,345,18.9,Medio,17.4
3313,-71.111,42.327,0.12816,12.5,6.07,0,0.409,5,33.0,6.498,4,345,18.9,Medio,20.9
3321,-71.121,42.316,0.08826,0.0,10.81,0,0.413,6,6.6,5.2873,4,305,19.2,Medio,24.2
3322,-71.1095,42.3008,0.15876,0.0,10.81,0,0.413,5,17.5,5.2873,4,305,19.2,Medio,21.7
3323,-71.13,42.305,0.09164,0.0,10.81,0,0.413,6,7.8,5.2873,4,305,19.2,Medio,22.8
3324,-71.123,42.292,0.19539,0.0,10.81,0,0.413,6,6.2,5.2873,4,305,19.2,Medio,23.4
3331,-71.1105,42.289,0.07896,0.0,12.83,0,0.437,6,6.0,4.2515,5,398,18.7,Medio,24.1
3332,-71.1,42.2875,0.09512,0.0,12.83,0,0.437,6,45.0,4.5026,5,398,18.7,Medio,21.4
3333,-71.09,42.2835,0.10153,0.0,12.83,0,0.437,6,74.5,4.0522,5,398,18.7,Medio,20.0
3334,-71.076,42.2895,0.08707,0.0,12.83,0,0.437,6,45.8,4.0905,5,398,18.7,Medio,20.8
3335,-71.0905,42.295,0.05646,0.0,12.83,0,0.437,6,53.7,5.0141,5,398,18.7,Medio,21.2
3336,-71.091,42.305,0.08387,0.0,12.83,0,0.437,5,36.6,4.5026,5,398,18.7,Medio,20.3
3341,-71.0685,42.308,0.04113,25.0,4.86,0,0.426,6,33.5,5.4007,4,281,19.0,Medio,28.0
3342,-71.069,42.315,0.04462,25.0,4.86,0,0.426,6,70.4,5.4007,4,281,19.0,Medio,23.9
3343,-71.0675,42.326,0.03659,25.0,4.86,0,0.426,6,32.2,5.4007,4,281,19.0,Medio,24.8
3344,-71.0575,42.317,0.03551,25.0,4.86,0,0.426,6,46.7,5.4007,4,281,19.0,Medio,22.9
3351,-71.043,42.3075,0.05059,0.0,4.49,0,0.449,6,48.0,4.7794,3,247,18.5,Medio,23.9
3352,-71.05,42.3,0.05735,0.0,4.49,0,0.449,6,56.1,4.4377,3,247,18.5,Medio,26.6
3353,-71.033,42.305,0.05188,0.0,4.49,0,0.449,6,45.1,4.4272,3,247,18.5,Medio,22.5
3354,-71.039,42.2885,0.07151,0.0,4.49,0,0.449,6,56.8,3.7476,3,247,18.5,Medio,22.2
3361,-71.042,42.2796,0.0566,0.0,3.41,0,0.489,7,86.3,3.4217,2,270,17.8,Grande,23.6
3362,-71.0345,42.2785,0.05302,0.0,3.41,0,0.489,7,63.1,3.4145,2,270,17.8,Grande,28.7
3363,-71.03,42.272,0.04684,0.0,3.41,0,0.489,6,66.1,3.0923,2,270,17.8,Medio,22.6
3364,-71.0425,42.2715,0.03932,0.0,3.41,0,0.489,6,73.9,3.0921,2,270,17.8,Medio,22.0
3371,-71.053,42.283,0.04203,28.0,15.04,0,0.464,6,53.6,3.6659,4,270,18.2,Medio,22.9
3372,-71.062,42.296,0.02875,28.0,15.04,0,0.464,6,28.9,3.6659,4,270,18.2,Medio,25.0
3373,-71.0615,42.284,0.04294,28.0,15.04,0,0.464,6,77.3,3.615,4,270,18.2,Medio,20.6
3381,-71.076,42.2775,0.12204,0.0,2.89,0,0.445,6,57.8,3.4952,2,276,18.0,Medio,28.4
3382,-71.085,42.2775,0.11504,0.0,2.89,0,0.445,6,69.6,3.4952,2,276,18.0,Medio,21.4
3383,-71.089,42.2715,0.12083,0.0,2.89,0,0.445,8,76.0,3.4952,2,276,18.0,Grande,38.7
3384,-71.0982,42.2685,0.08187,0.0,2.89,0,0.445,7,36.9,3.4952,2,276,18.0,Grande,43.8
3385,-71.08,42.268,0.0686,0.0,2.89,0,0.445,7,62.5,3.4952,2,276,18.0,Grande,33.2
3391,-71.0668,42.2545,0.14866,0.0,8.56,0,0.52,6,79.9,2.7778,5,384,20.9,Medio,27.5
3392,-71.081,42.245,0.11432,0.0,8.56,0,0.52,6,71.3,2.8561,5,384,20.9,Medio,26.5
3393,-71.0812,42.2515,0.22876,0.0,8.56,0,0.52,6,85.4,2.7147,5,384,20.9,Medio,18.6
3394,-71.077,42.249,0.21161,0.0,8.56,0,0.52,6,87.4,2.7147,5,384,20.9,Medio,19.3
3395,-71.069,42.248,0.1396,0.0,8.56,0,0.52,6,90.0,2.421,5,384,20.9,Medio,20.1
3396,-71.0662,42.2425,0.13262,0.0,8.56,0,0.52,5,96.7,2.1069,5,384,20.9,Medio,19.5
3397,-71.0622,42.2431,0.1712,0.0,8.56,0,0.52,5,91.9,2.211,5,384,20.9,Medio,19.5
3398,-71.0553,42.2465,0.13117,0.0,8.56,0,0.52,6,85.2,2.1224,5,384,20.9,Medio,20.4
3399,-71.055,42.2505,0.12802,0.0,8.56,0,0.52,6,97.1,2.4329,5,384,20.9,Medio,19.8
3400,-71.06,42.254,0.26363,0.0,8.56,0,0.52,6,91.2,2.5451,5,384,20.9,Medio,19.4
3401,-71.056,42.2605,0.10793,0.0,8.56,0,0.52,6,54.4,2.7778,5,384,20.9,Medio,21.7
3411,-71.0475,42.261,0.10084,0.0,10.01,0,0.547,6,81.6,2.6775,6,432,17.8,Medio,22.8
3412,-71.049,42.253,0.12329,0.0,10.01,0,0.547,5,92.9,2.3534,6,432,17.8,Medio,18.8
3413,-71.0428,42.258,0.22212,0.0,10.01,0,0.547,6,95.4,2.548,6,432,17.8,Medio,18.7
3414,-71.0396,42.2512,0.14231,0.0,10.01,0,0.547,6,84.2,2.2565,6,432,17.8,Medio,18.5
3415,-71.0355,42.2545,0.17134,0.0,10.01,0,0.547,5,88.2,2.4631,6,432,17.8,Medio,18.3
3416,-71.036,42.2608,0.13158,0.0,10.01,0,0.547,6,72.5,2.7301,6,432,17.8,Medio,21.2
3417,-71.0285,42.262,0.15098,0.0,10.01,0,0.547,6,82.6,2.7474,6,432,17.8,Medio,19.2
